YEAR,,AUTHOR NAME,,SUBJECT AREA,,DOCUMENT TYPE,,SOURCE TITLE,,KEYWORD,,AFFILIATION,,COUNTRY,,SOURCE TYPE,,LANGUAGE,
1958,10,"Briens, C.",122,,,,,Geochimica Et Cosmochimica Acta,101,Controlled clinical trial,880,University of Chicago,114,Croatia,19,,,,
1957,21,"Zhong, R.",121,,,,,Physical Review A,98,Brain,879,Stanford University,112,Viet Nam,17,,,,
1956,27,"Greason, W.D.",121,,,,,Lancet,97,Theoretical study,829,The Ottawa Hospital,112,Colombia,17,,,,
1955,11,"Moschopoulos, G.",120,,,,,Industrial and Engineering Chemistry Research,96,Risk Factors,829,"Mount Sinai Hospital, Toronto",111,Uruguay,14,,,,
1954,12,"Castle, G.S.P.",120,,,,,IEEE Transactions on Industry Applications,95,Molecular Sequence Data,828,University of Glasgow,110,Puerto Rico,13,,,,
1953,12,"Vernon, P.A.",120,,,,,Journal of Otolaryngology,95,"Cells, Cultured",826,University of Florida,110,Slovenia,13,,,,
1952,6,"Lachance, M.A.",115,,,,,Journal of Organometallic Chemistry,94,Risk factor,818,University of Minnesota Twin Cities,109,Belarus,12,,,,
1951,11,"Huner, N.P.A.",114,,,,,Monthly Notices of the Royal Astronomical Society,93,Drug effect,812,Children's Hospital of Western Ontario,107,Indonesia,12,,,,
1950,8,"Nesbitt, H.W.",114,,,,,Canadian Journal of Chemical Engineering,92,Conference paper,810,Ryerson University,105,Ghana,12,,,,
1949,5,"Shoesmith, D.W.",113,,,,,Journal of Physical Chemistry,91,Questionnaire,799,Johns Hopkins University,103,Kenya,12,,,,
1948,4,"Menon, R.S.",113,,,,,Canadian Journal of Physics,90,Human tissue,793,Indiana University,103,Sri Lanka,11,,,,
1947,2,"Whalley, J.",112,,,,,Journal of Bacteriology,90,Nuclear magnetic resonance imaging,789,University of Cambridge,103,Venezuela,11,,,,
1946,2,"Chin, J.L.",112,,,,,Biochemical and Biophysical Research Communications,90,Middle Age,781,Hand and Upper Limb Centre,102,Barbados,9,,,,
1945,2,"Shoemaker, J.K.",111,,,,,Chemical Physics Letters,87,Questionnaires,776,Cornell University,101,Serbia,9,,,,
1944,1,"Denstedt, J.D.",109,,,,,Behavioural Brain Research,85,Genetics,775,Massachusetts General Hospital,100,Kuwait,8,,,,
1943,1,"Clark, H.C.",109,,,,,Critical Care Medicine,84,Kinetics,752,Ohio State University,99,Montenegro,8,,,,
1942,1,"Challis, J.R.G.",109,,,,,Physics in Medicine and Biology,84,Gene expression,751,Institute for Clinical Evaluative Sciences,97,Iceland,7,,,,
1941,1,"Kasrai, M.",108,,,,,Journal of Sound and Vibration,84,Magnetic Resonance Imaging,745,Toronto General Hospital,97,Panama,7,,,,
1940,3,"Bergougnou, M.A.",108,,,,,Journal of Personality and Social Psychology,83,Middle aged,741,Northwestern University,92,Tanzania,7,,,,
1939,3,"Adamiak, K.",108,,,,,Canadian Journal of Gastroenterology,82,Histology,733,IEEE,91,Ecuador,7,,,,
1938,2,"McFadden, G.",106,,,,,Canadian Journal of Microbiology,82,Diagnosis,728,Duke University School of Medicine,91,Malawi,6,,,,
1937,3,"Knopf, G.K.",106,,,,,Science,80,Retrospective Studies,726,University of Arizona,91,Philippines,6,,,,
1936,4,"Lala, P.K.",105,,,,,Journal of Physical Chemistry C,80,Risk assessment,718,Samuel Lunenfeld Research Institute,91,Costa Rica,6,,,,
1935,1,"Jones, D.L.",105,,,,,Langmuir,80,Follow-Up Studies,717,Chinese University of Hong Kong,90,Paraguay,6,,,,
1934,4,"Meath, W.J.",103,,,,,Physical Review D,80,Therapy,714,Universit_ Laurentienne,90,Qatar,5,,,,
1933,1,"Berruti, F.",103,,,,,Clinical Orthopaedics and Related Research,79,Signal transduction,713,"University of California, Los Angeles",90,Uganda,5,,,,
1932,1,"Calaresu, F.R.",103,,,,,Journal of Urology,78,Immunohistochemistry,707,University of Melbourne,88,Jordan,5,,,,
1931,1,"Bourne, R.B.",102,,,,,Theoretical Computer Science,77,Reproducibility of Results,694,Imperial College London,87,Luxembourg,5,,,,
1930,4,"Tan, K.H.",102,,,,,Materials Research Society Symposium Proceedings,77,Comparative Study,679,Li Ka Shing Knowledge Institute,87,Estonia,5,,,,
1929,1,"De Mayo, P.",101,,,,,Canadian Anaesthetists Society Journal,76,Disease severity,674,University of Colorado at Boulder,85,Trinidad and Tobago,5,,,,
1928,2,"Prato, F.S.",101,,,,,Journal of Electrostatics,76,Enzyme activity,672,City University of Hong Kong,82,Czechoslovakia,5,,,,
1927,1,"Lennard, W.N.",101,,,,,Archives of Physical Medicine and Rehabilitation,75,"RNA, Messenger",660,University of Pittsburgh,82,Lithuania,5,,,,
1926,4,"Leaist, D.G.",101,,,,,Canadian Journal of Public Health,75,Outcome assessment,656,Universidade Federal de Minas Gerais,82,Oman,4,,,,
1925,3,"Yanful, E.K.",100,,,,,International Journal of Radiation Oncology Biology Physics,75,Young Adult,653,Los Alamos National Laboratory,80,Algeria,4,,,,
1924,3,"El Naggar, M.H.",100,,,,,Experimental Neurology,74,Chemistry,643,Southern Crop Protection and Food Research Centre,80,Sudan,4,,,,
1920,1,"Hirst, M.",100,,,,,Aiche Annual Meeting Conference Proceedings,72,Prospective Studies,642,Commission G_ologique du Canada,79,Armenia,4,,,,
,,"Rieder, M.J.",99,,,,,Proceedings Annual Conference Canadian Society for Civil Engineering,72,Letter,631,Boston University,77,Bahrain,4,,,,
,,"Petersen, N.O.",98,,,,,Physiology and Behavior,72,Oxygen,627,The University of North Carolina at Chapel Hill,77,Nicaragua,4,,,,
,,"Leask, A.",98,,,,,Transplantation,72,Cell culture,624,Royal Military College of Canada,75,North Korea,4,,,,
,,"Singh, M.R.",98,,,,,Contributions to Mineralogy and Petrology,71,United States,620,Perimeter Institute for Theoretical Physics,75,Yugoslavia,4,,,,
,,"Gula, L.J.",98,,,,,Neuropsychologia,71,Prognosis,614,Texas A and M University,74,Palestine,3,,,,
,,"Lee, T.Y.",97,,,,,Journal of Neuroscience,70,Mortality,613,UC Berkeley,73,Nepal,3,,,,
,,"Huff, M.W.",97,,,,,Journal of Physical Chemistry B,70,Computer assisted tomography,604,University of Queensland,73,Zambia,3,,,,
,,"Kiernan, J.A.",97,,,,,Canadian Journal of Botany,69,Phenotype,602,University at Buffalo State University of New York,73,Cambodia,2,,,,
,,"Cain, D.P.",96,,,,,Nuclear Inst and Methods in Physics Research B,69,Cell Line,600,Yale University,72,Congo,2,,,,
,,"Dunham, C.B.",96,,,,,Federation Proceedings,69,Aging,596,Pennsylvania State University,71,Samoa,2,,,,
,,"Huang, Y.",96,,,,,Journal of Organic Chemistry,69,Amino Acid Sequence,587,University of Ottawa Heart Institute,71,Dominica,2,,,,
,,"Rutt, B.K.",95,,,,,Canadian Journal of Civil Engineering,68,Pathophysiology,585,Saint Mary's University,71,Tunisia,2,,,,
,,"Roberts, W.A.",95,,,,,Oral Surgery Oral Medicine and Oral Pathology,68,"Child, Preschool",581,University of Wisconsin,71,Iraq,2,,,,
,,"Roach, M.R.",95,,,,,New England Journal of Medicine,68,Analysis of Variance,579,Michigan State University,71,Yemen,2,,,,
,,"Inculet, I.I.",95,,,,,Applied Surface Science,67,Nucleotide sequence,576,University of Cincinnati,70,Honduras,1,,,,
,,"Millar, J.S.",95,,,,,Neuroscience,67,Clinical feature,575,David Geffen School of Medicine at UCLA,69,Guatemala,1,,,,
,,"Konermann, L.",94,,,,,Journal of Virology,67,Quality of life,570,University of Michigan Medical School,69,Cote d'Ivoire,1,,,,
,,"Khayat, R.E.",94,,,,,Tetrahedron Letters,67,Calcium,569,Aalto University,69,Grenada,1,,,,
,,"Kari, L.",93,,,,,Circulation,66,Hypertension,567,King's College London,68,Ethiopia,1,,,,
,,"Forbes, T.L.",93,,,,,Surface and Interface Analysis,66,Exercise,565,Universit_ de Sherbrooke,68,Chad,1,,,,
,,"Bolton, J.R.",93,,,,,Neuroimage,66,Age,560,Cleveland Clinic Foundation,68,Cape Verde,1,,,,
,,"Vandervoort, A.A.",93,,,,,Journal of Pharmacology and Experimental Therapeutics,65,Mutation,555,New York University School of Medicine,68,Dominican Republic,1,,,,
,,"Laird, D.W.",93,,,,,American Mineralogist,65,Stroke,554,Canadian Surgical Technologies and Advanced Robotics CSTAR,67,Burkina Faso,1,,,,
,,"Garcia, B.",93,,,,,Journal of Approximation Theory,65,Protein function,536,Yale University School of Medicine,67,Morocco,1,,,,
,,"Li, R.",92,,,,,Journal of Clinical Endocrinology and Metabolism,64,Cognition,534,University of Edinburgh,67,Bosnia and Herzegovina,1,,,,
,,"Zinman, B.",92,,,,,Biochemical Journal,64,Pathology,527,University of Leeds,66,Russia,1,,,,
,,"Landstreet, J.D.",92,,,,,Work,64,Depression,523,Brigham and Women's Hospital,66,Bolivia,1,,,,
,,"Hong, H.P.",92,,,,,Inorganica Chimica Acta,63,Infant,520,University of New South Wales,66,Bahamas,1,,,,
,,"Strong, M.J.",92,,,,,Pain,63,North America,519,Argonne National Laboratory,66,Afghanistan,1,,,,
,,"Teasell, R.",92,,,,,Kidney International,62,Practice guideline,519,Toronto Western Hospital,65,Cyprus,1,,,,
,,"Young, G.B.",91,,,,,Chemical Geology,62,Radioisotope,518,UmeÎ universitet,65,Angola,1,,,,
,,"Kopp, G.A.",91,,,,,Chemical Communications,62,"Rats, Sprague-Dawley",517,Albert Einstein College of Medicine of Yeshiva University,64,Niger,1,,,,
,,"Sims, S.M.",90,,,,,Canadian Association of Radiologists Journal,62,Time,506,Princeton University,64,Jamaica,1,,,,
,,"Johnson, J.A.",90,,,,,Solid State Communications,61,"Rats, Inbred Strains",505,Saint Joseph's Hospital London,64,Mauritius,1,,,,
,,"Leung, L.S.",90,,,,,Journal of Molecular Spectroscopy,60,"Models, Biological",505,Rockefeller University,64,Netherlands Antilles,1,,,,
,,"Spence, J.D.",89,,,,,Journal of Biomechanics,60,Sex difference,505,Acadia University,64,Botswana,1,,,,
,,"Neufeld, R.W.J.",88,,,,,Canadian Journal of Anaesthesia,60,Liver,503,Trent University,64,Libyan Arab Jamahiriya,1,,,,
,,"Fisher, W.A.",88,,,,,American Heart Journal,59,Age Factors,502,Helsingin Yliopisto,63,Sierra Leone,1,,,,
,,"Speechley, M.",88,,,,,Canadian Medical Association Journal,59,Kidney,499,Duke University,63,Zimbabwe,1,,,,
,,"Ling, C.X.",88,,,,,Aip Conference Proceedings,59,Short survey,499,University of Maryland,63,,,,,,
,,"Stewart, M.",87,,,,,Transplantation Proceedings,59,Statistics,493,"Princess Margaret Hospital, Toronto",63,,,,,,
,,"Elias, V.",87,,,,,Journal of Cardiovascular Electrophysiology,59,Placebo,491,Brookhaven National Laboratory,62,,,,,,
,,"Kidder, G.M.",86,,,,,Analytical Chemistry,58,Task performance,490,University of Connecticut,62,,,,,,
,,"Moallem, M.",86,,,,,Journal of Molecular Biology,58,Proteins,484,QEII Health Sciences Centre,61,,,,,,
,,"Petrella, R.J.",86,,,,,Geology,58,Disease association,482,California Institute of Technology,61,,,,,,
,,"Brown, J.B.",84,,,,,Physical Review A Atomic Molecular and Optical Physics,57,Prevalence,478,St. Joseph's Health Centre,60,,,,,,
,,"Kim, R.B.",84,,,,,Muscle and Nerve,56,Base Sequence,477,University of Texas M. D. Anderson Cancer Center,60,,,,,,
,,"Floryan, J.M.",84,,,,,Canadian Journal of Occupational Therapy,56,Messenger RNA,476,University of Birmingham,60,,,,,,
,,"Jevnikar, A.M.",84,,,,,Journal of Neurochemistry,56,Scoring system,470,NASA Ames Research Center,59,,,,,,
,,"Shen, W.",83,,,,,Cellular Immunology,56,Prediction,464,"McGill University Health Centre, Montreal",59,,,,,,
,,"Trevithick, J.R.",83,,,,,Canadian Journal of Anesthesia,56,"Dose-Response Relationship, Drug",462,Universidade de Sao Paulo,59,,,,,,
,,"Kowalchuk, J.M.",83,,,,,Journal of the Canadian Urological Association,56,Dose response,460,Harvard University,59,,,,,,
,,"Feagan, B.G.",82,,,,,Journal of Physics B Atomic and Molecular Physics,56,Signal Transduction,459,University of Virginia,59,,,,,,
,,"Lindsay, R.M.",82,,,,,FASEB Journal,55,Pain,459,Eidgenossische Technische Hochschule Zurich,59,,,,,,
,,"King, G.J.W.",81,,,,,Archives of Neurology,55,Electron microscopy,456,University of Auckland,58,,,,,,
,,"Groom, A.C.",81,,,,,Clinical and Investigative Medicine,54,Editorial,454,Mount Sinai School of Medicine,58,,,,,,
,,"Rorabeck, C.H.",80,,,,,Biochemistry and Cell Biology,54,Sensitivity and Specificity,451,"Sir Mortimer B. Davis Jewish General Hospital, Montreal",58,,,,,,
,,"Lipson, R.H.",80,,,,,Physical Review D Particles Fields Gravitation and Cosmology,53,Behavior,450,Tel Aviv University,57,,,,,,
,,"Dixon, S.J.",80,,,,,Life Sciences,53,Education,449,CNRS Centre National de la Recherche Scientifique,57,,,,,,
,,"Briens, C.L.",80,,,,,Cancer Research,53,Retrospective study,447,Syddansk Universitet,57,,,,,,
,,"Nehdi, M.",80,,,,,Journal of Cell Communication and Signaling,53,Blood Pressure,445,University of Manchester,56,,,,,,
,,"Simpson, P.J.",80,,,,,Review of Scientific Instruments,52,Note,445,Harvard-Smithsonian Center for Astrophysics,56,,,,,,
,,"Teasell, R.W.",80,,,,,Journal of Physiology,52,Heart,443,University of Adelaide,55,,,,,,
,,"Tiampo, K.F.",79,,,,,Clinical Pharmacology and Therapeutics,52,Cytology,442,Bogolyubov Institute for Theoretical Physics Nasu,55,,,,,,
,,"Clark, W.F.",79,,,,,Canadian Acoustics Acoustique Canadienne,52,Disease course,439,Peking University,55,,,,,,
,,"Drangova, M.",78,,,,,Electrochimica Acta,52,DNA,439,University of Bristol,55,,,,,,
,,"Kennedy, T.G.",78,,,,,Topics in Stroke Rehabilitation,52,"Mice, Inbred C57BL",438,University of Rochester,55,,,,,,
,,"Singh, B.",78,,,,,Tissue and Cell,52,Neurons,433,Erasmus University Medical Center,54,,,,,,
,,Undefined,2,,,,,Undefined,68,"Muscle, Skeletal",432,University of Southern California,53,,,,,,
